Question,A,B,C,D,Answer
Which device is used to input data into a computer?,Monitor,Keyboard,Printer,Speaker,B
What is the capital of France?,Berlin,London,Paris,Madrid,C
Which one is a web browser?,Chrome,Windows,Linux,Android,A
Which data structure uses FIFO order?,Stack,Queue,Tree,Graph,B
Which protocol is used to send emails?,HTTP,FTP,SMTP,IMAP,C
Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
Who developed the Python programming language?,Guido van Rossum,James Gosling,Dennis Ritchie,Bjarne Stroustrup,A
Which symbol is used to denote comments in Python?,//,#,/* */,--,B
What is the chemical symbol of water?,H2O,O2,CO2,HO,A
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Personal Unit,Central Processor Utility,B
Which gas is essential for respiration?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,A
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C
Who is the founder of Microsoft?,Steve Jobs,Bill Gates,Larry Page,Elon Musk,B
Which keyword is used to define a function in Python?,func,def,function,lambda,B
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,D
Which one is an operating system?,Python,Linux,HTML,CSS,B
Which company developed the Windows operating system?,Apple,Microsoft,IBM,Google,B
Who painted the Mona Lisa?,Vincent Van Gogh,Leonardo da Vinci,Pablo Picasso,Michelangelo,B
Which of these is a mammal?,Snake,Shark,Whale,Frog,C
Which company owns Android OS?,Apple,Microsoft,Google,IBM,C
